order_id,customer_id,product_id,order_date,promised_delivery_date,actual_delivery_date,quantity,unit_price,plant_location,order_status
ORD00065,CUST014,PROD001,2025-04-28,2025-05-19,2025-05-17,41,2747.21,"San Jose, Costa Rica",Shipped
ORD00066,CUST014,PROD005,2025-01-30,2025-02-12,2025-02-10,42,2288.89,"Santa Clara, USA",Cancelled
ORD00067,CUST012,PROD002,2025-04-22,2025-05-12,2025-05-10,32,742.64,"Alajuela, Costa Rica",Shipped
ORD00068,CUST013,PROD005,2025-03-28,2025-04-07,2025-04-07,22,2108.3,"San Jose, Costa Rica",Shipped
ORD00069,CUST017,PROD004,2025-03-31,2025-04-12,,19,1134.85,"Alajuela, Costa Rica",Open
ORD00070,CUST006,PROD010,2025-02-09,2025-02-28,2025-03-08,10,623.74,"Santa Clara, USA",Shipped
ORD00071,CUST015,PROD010,2025-05-29,2025-06-12,2025-06-17,73,862.77,"Santa Clara, USA",Cancelled
ORD00072,CUST011,PROD003,2025-04-23,2025-05-01,2025-05-02,57,1655.32,"San Jose, Costa Rica",Shipped
ORD00073,CUST002,PROD006,2025-05-10,2025-05-18,,60,2644.77,"Santa Clara, USA",Open
ORD00074,CUST003,PROD002,2025-06-07,2025-06-23,2025-06-25,50,756.26,"San Jose, Costa Rica",Shipped
ORD00075,CUST002,PROD008,2025-05-27,2025-06-13,2025-06-12,42,1026.4,"Alajuela, Costa Rica",Shipped
ORD00076,CUST015,PROD002,2025-03-29,2025-04-16,,65,848.66,"San Jose, Costa Rica",Open
ORD00077,CUST015,PROD008,2025-05-15,2025-05-30,2025-06-01,21,875.82,"Santa Clara, USA",Cancelled
ORD00078,CUST014,PROD006,2025-06-23,2025-07-09,,43,1959.78,"San Jose, Costa Rica",Open
ORD00079,CUST013,PROD005,2025-03-06,2025-03-24,2025-04-01,20,2594.29,"Alajuela, Costa Rica",Shipped
ORD00080,CUST012,PROD005,2025-06-17,2025-07-05,2025-07-10,51,2207.72,"Alajuela, Costa Rica",Shipped
ORD00081,CUST010,PROD009,2025-04-07,2025-04-24,2025-05-02,43,2365.93,"San Jose, Costa Rica",Shipped
ORD00082,CUST017,PROD002,2025-06-15,2025-07-02,2025-07-03,66,705.43,"Alajuela, Costa Rica",Shipped
ORD00083,CUST007,PROD006,2025-05-05,2025-05-15,2025-05-14,18,2117.78,"Alajuela, Costa Rica",Shipped
ORD00084,CUST017,PROD009,2025-05-15,2025-05-22,2025-05-27,44,2446.69,"San Jose, Costa Rica",Shipped
ORD00085,CUST013,PROD003,2025-02-11,2025-02-20,,22,1744.34,"Santa Clara, USA",Open
ORD00086,CUST008,PROD008,2025-06-06,2025-06-17,2025-06-25,58,794.7,"Santa Clara, USA",Shipped
ORD00087,CUST007,PROD006,2025-06-23,2025-07-09,2025-07-10,60,3208.24,"San Jose, Costa Rica",Shipped
ORD00088,CUST017,PROD007,2025-02-11,2025-03-03,,18,4195.19,"Santa Clara, USA",Open
ORD00089,CUST012,PROD009,2025-01-27,2025-02-14,2025-02-22,67,2414.46,"Alajuela, Costa Rica",Shipped
ORD00090,CUST009,PROD008,2025-05-12,2025-05-21,2025-05-29,56,705.83,"Santa Clara, USA",Cancelled
ORD00091,CUST012,PROD001,2025-04-17,2025-04-24,2025-04-25,65,2403.78,"Alajuela, Costa Rica",Shipped
ORD00092,CUST012,PROD004,2025-01-08,2025-01-20,,43,1629.05,"Santa Clara, USA",Open
ORD00093,CUST016,PROD003,2025-05-01,2025-05-15,,1,1927.41,"Alajuela, Costa Rica",Open
ORD00094,CUST005,PROD009,2025-06-05,2025-06-20,2025-06-21,15,2318.64,"Alajuela, Costa Rica",Shipped
ORD00095,CUST002,PROD004,2025-04-18,2025-05-05,2025-05-13,59,980.42,"Santa Clara, USA",Shipped
ORD00096,CUST020,PROD009,2025-01-05,2025-01-22,,74,1636.02,"Santa Clara, USA",Open
ORD00097,CUST001,PROD010,2025-04-01,2025-04-11,2025-04-13,54,628.96,"San Jose, Costa Rica",Shipped
ORD00098,CUST012,PROD002,2025-05-15,2025-05-30,2025-06-01,65,802.32,"Santa Clara, USA",Shipped
ORD00099,CUST002,PROD007,2025-04-06,2025-04-17,,3,3062.9,"Alajuela, Costa Rica",Open
ORD00100,CUST004,PROD010,2025-03-27,2025-04-05,2025-04-03,46,813.01,"Alajuela, Costa Rica",Shipped
ORD00101,CUST015,PROD008,2025-06-11,2025-06-20,2025-06-28,18,687.96,"Santa Clara, USA",Shipped
ORD00102,CUST002,PROD005,2025-02-21,2025-02-28,2025-03-08,26,3639.0,"Santa Clara, USA",Shipped
ORD00103,CUST017,PROD007,2025-05-20,2025-06-03,2025-06-03,5,3932.45,"Santa Clara, USA",Shipped
ORD00104,CUST002,PROD006,2025-03-11,2025-03-19,2025-03-27,48,2618.22,"Santa Clara, USA",Shipped
ORD00105,CUST013,PROD006,2025-02-17,2025-03-03,2025-03-08,64,2494.7,"Santa Clara, USA",Shipped
ORD00106,CUST003,PROD007,2025-01-21,2025-02-03,2025-02-05,24,3476.34,"Alajuela, Costa Rica",Shipped
ORD00107,CUST011,PROD005,2025-03-20,2025-04-03,2025-04-05,55,2279.0,"Santa Clara, USA",Shipped
ORD00108,CUST002,PROD006,2025-06-07,2025-06-20,2025-06-20,8,1975.98,"Santa Clara, USA",Shipped
ORD00109,CUST017,PROD003,2025-01-08,2025-01-17,,57,1063.93,"San Jose, Costa Rica",Open
ORD00110,CUST012,PROD006,2025-04-09,2025-04-25,2025-04-23,20,3047.86,"Santa Clara, USA",Cancelled
ORD00111,CUST015,PROD002,2025-05-27,2025-06-05,2025-06-07,47,723.67,"Alajuela, Costa Rica",Shipped
ORD00112,CUST004,PROD001,2025-02-17,2025-03-03,,50,3322.08,"Santa Clara, USA",Open
ORD00113,CUST015,PROD004,2025-06-06,2025-06-17,,63,1102.72,"Alajuela, Costa Rica",Open
ORD00114,CUST015,PROD003,2025-04-24,2025-05-02,2025-05-10,41,1691.46,"San Jose, Costa Rica",Shipped
ORD00115,CUST018,PROD005,2025-03-18,2025-04-07,2025-04-06,23,3464.84,"Alajuela, Costa Rica",Shipped
ORD00116,CUST007,PROD003,2025-03-02,2025-03-21,2025-03-22,4,1387.19,"Santa Clara, USA",Shipped
ORD00117,CUST018,PROD003,2025-06-06,2025-06-27,2025-06-25,9,1336.03,"San Jose, Costa Rica",Cancelled
ORD00118,CUST016,PROD009,2025-04-16,2025-05-05,2025-05-06,74,1421.12,"San Jose, Costa Rica",Cancelled
ORD00119,CUST003,PROD008,2025-04-30,2025-05-17,2025-05-19,45,728.7,"San Jose, Costa Rica",Shipped
ORD00120,CUST019,PROD003,2025-02-03,2025-02-16,2025-02-18,8,1853.59,"Santa Clara, USA",Shipped
ORD00005,CUST016,PROD002,2025-01-08,2025-01-25,2025-01-27,99,880.72,"Alajuela, Costa Rica",Shipped
ORD90101,CUST999,PROD009,2025-04-07,2025-04-21,2025-04-21,25,2580.07,"Santa Clara, USA",Shipped
ORD90102,CUST005,PROD999,2025-01-10,2025-01-19,2025-01-21,43,1191.71,"Santa Clara, USA",Shipped
ORD90103,CUST003,PROD008,2025-03-09,2025-03-21,2025-03-23,-15,1054.4,"San Jose, Costa Rica",Shipped
ORD90104,CUST018,PROD007,2025-03-23,2025-04-09,,0,4193.83,"Alajuela, Costa Rica",Open
ORD90105,CUST008,PROD005,2025-02-28,2025-03-18,2025-02-26,56,3814.02,"San Jose, Costa Rica",Shipped
ORD90106,CUST004,PROD008,2025-02-12,2025-03-02,2025-03-02,4,,"Santa Clara, USA",Shipped
ORD90107,CUST012,PROD006,,2025-04-30,2025-04-29,68,2574.03,"Alajuela, Costa Rica",Shipped
