forecast_id,product_id,region,forecast_month,forecast_revenue,forecast_quantity
FCST00175,PROD008,EMEA,2025-04-01,100047.18,203
FCST00176,PROD008,APAC,2025-04-01,163569.18,117
FCST00177,PROD009,LATAM,2025-04-01,103130.47,118
FCST00178,PROD009,North America,2025-04-01,88065.67,248
FCST00179,PROD009,EMEA,2025-04-01,135566.53,252
FCST00180,PROD009,APAC,2025-04-01,56309.25,255
FCST00181,PROD010,LATAM,2025-04-01,168957.43,339
FCST00182,PROD010,North America,2025-04-01,56772.01,334
FCST00183,PROD010,EMEA,2025-04-01,145785.36,220
FCST00184,PROD010,APAC,2025-04-01,135440.08,254
FCST00185,PROD011,LATAM,2025-04-01,204082.31,319
FCST00186,PROD011,North America,2025-04-01,232853.71,289
FCST00187,PROD011,EMEA,2025-04-01,96375.84,288
FCST00188,PROD011,APAC,2025-04-01,51467.61,247
FCST00189,PROD012,LATAM,2025-04-01,99507.04,105
FCST00190,PROD012,North America,2025-04-01,213585.4,241
FCST00191,PROD012,EMEA,2025-04-01,207416.71,53
FCST00192,PROD012,APAC,2025-04-01,71167.57,109
FCST00193,PROD001,LATAM,2025-05-01,151083.33,173
FCST00194,PROD001,North America,2025-05-01,138318.89,272
FCST00195,PROD001,EMEA,2025-05-01,125632.51,234
FCST00196,PROD001,APAC,2025-05-01,129520.67,255
FCST00197,PROD002,LATAM,2025-05-01,125080.23,280
FCST00198,PROD002,North America,2025-05-01,54947.77,66
FCST00199,PROD002,EMEA,2025-05-01,126346.85,75
FCST00200,PROD002,APAC,2025-05-01,186342.7,55
FCST00201,PROD003,LATAM,2025-05-01,100574.7,50
FCST00202,PROD003,North America,2025-05-01,187150.59,104
FCST00203,PROD003,EMEA,2025-05-01,181136.72,328
FCST00204,PROD003,APAC,2025-05-01,102491.52,171
FCST00205,PROD004,LATAM,2025-05-01,128293.7,350
FCST00206,PROD004,North America,2025-05-01,83026.91,123
FCST00207,PROD004,EMEA,2025-05-01,112069.47,53
FCST00208,PROD004,APAC,2025-05-01,131849.72,232
FCST00209,PROD005,LATAM,2025-05-01,172918.9,141
FCST00210,PROD005,North America,2025-05-01,67868.96,164
FCST00211,PROD005,EMEA,2025-05-01,77454.24,194
FCST00212,PROD005,APAC,2025-05-01,235174.43,101
FCST00213,PROD006,LATAM,2025-05-01,214289.48,217
FCST00214,PROD006,North America,2025-05-01,183060.46,229
FCST00215,PROD006,EMEA,2025-05-01,64146.21,214
FCST00216,PROD006,APAC,2025-05-01,54614.47,290
FCST00217,PROD007,LATAM,2025-05-01,72161.9,225
FCST00218,PROD007,North America,2025-05-01,242132.92,275
FCST00219,PROD007,EMEA,2025-05-01,84569.75,307
FCST00220,PROD007,APAC,2025-05-01,202394.12,315
FCST00221,PROD008,LATAM,2025-05-01,172330.37,343
FCST00222,PROD008,North America,2025-05-01,110323.84,165
FCST00223,PROD008,EMEA,2025-05-01,63793.49,270
FCST00224,PROD008,APAC,2025-05-01,119564.5,331
FCST00225,PROD009,LATAM,2025-05-01,219446.53,212
FCST00226,PROD009,North America,2025-05-01,53212.16,206
FCST00227,PROD009,EMEA,2025-05-01,93677.29,221
FCST00228,PROD009,APAC,2025-05-01,108476.6,345
FCST00229,PROD010,LATAM,2025-05-01,121345.19,304
FCST00230,PROD010,North America,2025-05-01,83507.74,248
FCST00231,PROD010,EMEA,2025-05-01,178824.57,163
FCST00232,PROD010,APAC,2025-05-01,180526.78,291
FCST00233,PROD011,LATAM,2025-05-01,180630.46,87
FCST00234,PROD011,North America,2025-05-01,112743.32,164
FCST00235,PROD011,EMEA,2025-05-01,133927.01,228
FCST00236,PROD011,APAC,2025-05-01,174581.21,216
FCST00237,PROD012,LATAM,2025-05-01,184546.72,321
FCST00238,PROD012,North America,2025-05-01,127248.56,272
FCST00239,PROD012,EMEA,2025-05-01,110355.6,158
FCST00240,PROD012,APAC,2025-05-01,83374.18,201
FCST00241,PROD001,LATAM,2025-06-01,83603.81,134
FCST00242,PROD001,North America,2025-06-01,87728.08,287
FCST00243,PROD001,EMEA,2025-06-01,127951.18,308
FCST00244,PROD001,APAC,2025-06-01,190041.11,91
FCST00245,PROD002,LATAM,2025-06-01,90877.04,224
FCST00246,PROD002,North America,2025-06-01,87413.88,313
FCST00247,PROD002,EMEA,2025-06-01,73531.95,67
FCST00248,PROD002,APAC,2025-06-01,179872.81,104
FCST00249,PROD003,LATAM,2025-06-01,241199.64,291
FCST00250,PROD003,North America,2025-06-01,81812.92,333
FCST00251,PROD003,EMEA,2025-06-01,120122.85,265
FCST00252,PROD003,APAC,2025-06-01,122338.57,66
FCST00253,PROD004,LATAM,2025-06-01,129035.86,284
FCST00254,PROD004,North America,2025-06-01,83993.08,245
FCST00255,PROD004,EMEA,2025-06-01,152073.35,67
FCST00256,PROD004,APAC,2025-06-01,76231.77,328
FCST00257,PROD005,LATAM,2025-06-01,109454.62,167
FCST00258,PROD005,North America,2025-06-01,78649.21,253
FCST00259,PROD005,EMEA,2025-06-01,213470.55,155
FCST00260,PROD005,APAC,2025-06-01,177534.77,266
FCST00261,PROD006,LATAM,2025-06-01,139406.34,259
FCST00262,PROD006,North America,2025-06-01,129760.96,70
FCST00263,PROD006,EMEA,2025-06-01,238980.83,90
FCST00264,PROD006,APAC,2025-06-01,105082.09,175
FCST00265,PROD007,LATAM,2025-06-01,191251.98,162
FCST00266,PROD007,North America,2025-06-01,93476.31,120
FCST00267,PROD007,EMEA,2025-06-01,45006.84,344
FCST00268,PROD007,APAC,2025-06-01,159121.5,158
FCST00269,PROD008,LATAM,2025-06-01,130563.1,272
FCST00270,PROD008,North America,2025-06-01,68550.37,175
FCST00271,PROD008,EMEA,2025-06-01,218176.32,141
FCST00272,PROD008,APAC,2025-06-01,138905.56,155
FCST00273,PROD009,LATAM,2025-06-01,193116.69,176
FCST00274,PROD009,North America,2025-06-01,71882.19,124
FCST00275,PROD009,EMEA,2025-06-01,131463.15,331
FCST00276,PROD009,APAC,2025-06-01,120044.14,279
FCST00277,PROD010,LATAM,2025-06-01,134805.95,179
FCST00278,PROD010,North America,2025-06-01,181162.63,264
FCST00279,PROD010,EMEA,2025-06-01,69216.36,261
FCST00280,PROD010,APAC,2025-06-01,135868.41,53
FCST00281,PROD011,LATAM,2025-06-01,63807.08,334
FCST00282,PROD011,North America,2025-06-01,231483.4,177
FCST00283,PROD011,EMEA,2025-06-01,169253.12,129
FCST00284,PROD011,APAC,2025-06-01,171916.54,266
FCST00285,PROD012,LATAM,2025-06-01,107291.67,339
FCST00286,PROD012,North America,2025-06-01,168736.86,291
FCST00287,PROD012,EMEA,2025-06-01,69269.72,249
FCST00288,PROD012,APAC,2025-06-01,126542.82,93
